Time,Close,MACD,ATR,RSI,USD_INR_Price,VIX,Yield_1_year_bond,Yield_10_year_bond,Yield_30_year_bond
2010-05-13,9773.35,-13.028481983086067,177.88960732070504,56.95997882920059,44.939999,24.54,4.886,7.499,8.493
2010-05-14,9589.04,-18.15008748073687,181.26534965494037,50.41118660177211,45.25,26.18,4.895,7.502,8.483
2010-05-17,9526.5,-25.08218661778068,188.69568182244467,48.378648095737894,45.528,26.93,4.876,7.466,8.477
2010-05-18,9492.25,-30.923106915087146,185.31313312084148,47.254957816537384,45.560001,26.43,4.87,7.5,8.483
2010-05-19,9108.35,-58.01727289972969,201.88005218363853,36.90720078308109,46.272999,29.99,4.864,7.438,8.472
2010-05-20,9174.6,-68.1524861173531,197.72790559909294,39.37441707601091,46.740002,30.04,4.885,7.416,8.472
2010-05-21,9135.7,-73.68194571434299,198.29734091344335,38.42429002700658,46.917999,31.27,4.921,7.382,8.467
2010-05-24,9087.25,-76.47626739197304,218.41610227676875,37.21961936009781,46.810001,30.84,4.847,7.395,8.461
2010-05-25,8851.75,-89.17256378458325,222.8578092569996,31.97250052009919,47.48,34.36,4.813,7.383,8.458
2010-05-26,9027.6,-80.95502693686745,220.21796573864245,38.899281201937825,47.099998,32.29,4.883,7.524,8.483
2010-05-28,9312.6,-33.95119851493686,224.31191943791106,48.233615983763464,46.299999,26.22,4.871,7.539,8.483
2010-05-31,9363.7,-14.19276975460258,217.40678233520322,49.80520751695516,46.358002,26.43,5.031,7.564,8.467
2010-06-01,9119.04,-15.97705958123774,221.20272645411734,43.0640634048971,47.083,28.6,4.97,7.564,8.456
2010-06-02,9192.45,-10.835473364164386,215.15610313596616,45.44985078260784,46.799999,28.06,4.95,7.503,8.451
2010-06-03,9387.7,6.177827730155059,214.90566719768282,51.295525328395115,46.5,25.4,4.958,7.56,8.473
2010-06-04,9455.95,21.621300535797857,208.67383382641975,53.184075765198486,46.860001,25.02,5.245,7.537,8.475
2010-06-07,9292.6,20.441812761492628,212.5721314102469,48.35157920034538,46.790001,28.27,5.282,7.49,8.451
2010-06-08,9185.29,12.43495688818436,214.78840773808642,45.43113278193337,46.830002,28.79,5.244,7.463,8.468
2010-06-09,9238.2,10.765095888885824,210.79209289965166,47.1268597780962,46.810001,28.09,5.234,7.485,8.473
2010-06-10,9346.45,16.661811066104264,206.59980054967656,50.51498555358924,46.75,26.73,5.223,7.53,8.484
2010-06-11,9451.75,26.765756302356365,200.17052908184252,53.627894275412274,46.75,25.06,5.222,7.638,8.474
2010-06-14,9534.1,37.45142636937496,192.88334843313945,55.96107974445152,46.400002,23.23,5.202,7.686,8.468
2010-06-15,9554.4,43.89630439206119,189.34453783077237,56.541555045729,46.400002,21.95,5.173,7.659,8.443
2010-06-16,9588.9,48.15144723274132,183.1234994142886,57.56526360028428,46.41,22.22,5.249,7.593,8.425
2010-06-17,9613.4,50.06312133810394,183.650392313268,58.31619655250448,46.09,21.66,5.229,7.62,8.419
2010-06-18,9576.25,46.35727857059251,175.46893571946302,56.678346120081144,46.009998,20.52,5.15,7.572,8.398
2010-06-21,9758.04,53.191333159303504,178.42829745378705,62.26358265134575,45.66,19.91,5.139,7.568,8.398
2010-06-22,9675.5,49.28318190017549,172.6341333499451,58.57125502380072,46.02,20.58,5.168,7.572,8.387
2010-06-23,9718.95,46.77495699752373,169.0209809678061,59.91872065960651,46.150002,20.3,5.148,7.585,8.389
2010-06-24,9673.6,39.50204597246754,165.07662518439133,57.80544165301582,46.259998,19.8,5.186,7.581,8.382
2010-06-25,9451.1,18.22864770853206,170.70686624264908,48.72541257836955,46.150002,20.19,5.274,7.659,8.39
2010-06-28,9542.2,9.266874565214188,166.7385186538884,52.04672574162151,46.099998,19.71,5.244,7.598,8.382
2010-06-29,9381.4,-7.605210108814461,168.67148160718216,46.34083024416517,46.41,20.68,5.233,7.57,8.377
2010-06-30,9464.6,-12.962018459957527,169.86280434952633,49.430023762366474,46.400002,21.11,5.324,7.561,8.361
2010-07-01,9349.4,-23.45234339382329,169.2697468959887,45.52217285701351,46.41,21.74,5.303,7.528,8.35
2010-07-02,9357.15,-28.710502500627165,162.8933364034181,45.83242903234459,46.560001,21.89,5.31,7.551,8.34
2010-07-05,9385.35,-29.0430917740432,158.6688123746025,47.014889394731114,46.728001,21.98,5.698,7.613,8.367
2010-07-06,9550.9,-17.439443214423953,160.30246863355953,53.440576641446825,46.599998,20.9,5.709,7.616,8.358
2010-07-07,9449.25,-15.975006209385466,157.45229230259096,49.473240680940286,46.950001,22.11,5.709,7.587,8.345
2010-07-08,9566.6,-6.929920138626127,158.055699995263,53.74266073656531,46.650002,21.15,5.823,7.601,8.356
2010-07-09,9713.7,8.306781735173356,158.18743570988707,58.4788698540492,46.52,20.22,5.814,7.654,8.362
2010-07-12,9850.6,25.955662346301253,157.65261887346648,62.34315859170949,46.66,19.89,5.783,7.614,8.362
2010-07-13,9931.6,40.564700761107034,160.8988603825046,64.45125711839142,46.41,19.12,5.794,7.623,8.361
2010-07-14,9956.65,48.8395415957647,158.94537035518292,65.10191987022066,46.599998,20.07,5.699,7.626,8.361
2010-07-15,9932.1,49.43377795102635,155.4642724726698,63.86812122541067,46.450001,20.11,5.699,7.636,8.368
2010-07-16,10013.45,51.828430383884054,151.08468158176478,66.15693730255418,46.700001,19.7,5.732,7.637,8.366
2010-07-19,10032.5,51.13204916431819,148.9893471830673,66.68908117919247,46.09,20.71,5.743,7.62,8.346
2010-07-20,9976.0,43.5968086045104,149.61939381284816,63.4999600576853,47.25,20.38,5.743,7.65,8.357
2010-07-21,9992.15,36.70710059331755,145.82872282621608,64.02946730860779,47.07,20.0,5.818,7.682,8.368
2010-07-22,10060.25,33.814834484195984,146.4373854814864,66.2526613515833,47.040001,18.89,5.819,7.678,8.365
2010-07-23,10093.9,31.304115518307896,142.1311436613802,67.32724181185797,46.889999,19.23,5.875,7.681,8.363
2010-07-26,10024.0,22.484491447205528,142.94677625699586,62.850279738569185,47.042999,19.97,5.865,7.681,8.362
2010-07-27,10090.65,18.83596243765095,145.38343509578183,65.22476934397426,46.647999,19.22,5.953,7.713,8.396
2010-07-28,10068.15,12.887561853644115,141.61318973179746,63.74355451963779,46.689999,19.52,5.954,7.753,8.422
2010-07-29,10179.7,14.33485578497067,144.0093904652405,67.66422636307416,46.459999,18.32,6.12,7.787,8.422
2010-07-30,10161.0,11.996835472450243,142.80871971772325,66.3685565019388,46.360001,18.94,6.29,7.803,8.433
2010-08-02,10411.5,24.56118829874802,152.27952545217158,73.64801898302348,46.088001,17.98,6.314,7.864,8.429
2010-08-03,10502.65,35.58209111905546,150.78813077701645,75.70838255633828,46.127998,17.55,6.249,7.823,8.429
2010-08-04,10489.3,38.3078107880622,148.10326429294386,74.78610679374022,46.127998,17.04,6.217,7.837,8.429
2010-08-05,10454.9,34.26071056012972,144.53517398630498,72.34064400647235,46.0,17.71,6.309,7.899,8.429
2010-08-06,10383.65,23.75092571230678,142.19337584442604,67.42297647837012,46.056,17.37,6.406,7.833,8.417
2010-08-09,10524.1,23.197461902246346,142.7759918555385,71.53131116971537,45.958,17.0,6.42,7.817,8.362
2010-08-10,10519.95,19.632534824067704,140.09984958014286,71.24540579720158,46.077999,17.32,6.422,7.84,8.39
2010-08-11,10428.65,8.760504359545052,141.0641460387041,65.08234194609895,46.310001,18.11,6.367,7.824,8.378
2010-08-12,10583.65,9.57677649349506,152.84884989308244,69.8506410432749,46.59,18.0,6.45,7.833,8.381
2010-08-13,10737.35,17.571469548257056,156.11321775786232,73.68774298107304,46.709999,16.73,6.388,7.827,8.383
2010-08-16,10680.55,16.172695579464573,154.44798791801495,70.13534710872234,46.627998,18.11,6.39,7.824,8.375
2010-08-17,10770.25,18.272031409474437,152.68384592387105,72.39837325466617,46.682999,17.63,6.44,7.876,8.389
2010-08-18,10894.05,24.588400719075764,154.28499978645172,75.19239524052276,46.608002,16.39,6.442,7.951,8.401
2010-08-20,11033.75,39.11880842343848,155.97890287709365,74.60320686034015,46.358002,16.7,6.441,7.977,8.404
2010-08-23,11095.5,38.86080230063115,155.11255267158685,75.81062181847037,46.608002,17.14,6.419,8.015,8.409
2010-08-24,11043.0,31.04645422224877,154.48308462361632,72.64827148387205,46.563,16.98,6.338,8.012,8.404
2010-08-25,10937.85,15.474817286425832,152.4414357219294,66.65141123467743,46.858002,18.92,6.437,8.067,8.409
2010-08-26,10981.7,5.330914587505845,149.00276174179155,67.84351012238193,46.873001,17.09,6.415,8.031,8.403
2010-08-27,10727.45,-19.91542511964991,161.33470733166354,55.463566603473126,46.787998,19.63,6.35,7.976,8.397
2010-08-30,10747.25,-35.76960286414203,164.22865680797318,56.13486975945385,46.803001,18.36,6.313,7.993,8.391
2010-08-31,10746.35,-46.1453527323479,160.90518132168944,56.093481453358486,46.873001,18.47,6.365,7.936,8.382
2010-09-01,10879.75,-43.86752934544313,160.0690969415687,60.7167616846285,47.028,16.7,6.355,7.961,8.38
2010-09-02,10980.6,-35.755380632949255,157.34273287431375,63.81854858056658,46.650002,16.14,6.333,7.981,8.385
2010-09-03,10991.2,-30.089692490753464,151.69325195471993,64.13905815893594,46.599998,15.86,6.315,7.97,8.387
2010-09-06,11218.8,-12.337389628583082,160.1401625293827,70.23582927406244,46.577999,15.22,6.33,7.99,8.402
2010-09-07,11192.95,-4.086503354922854,155.1515794915696,68.8050537214001,46.513,15.83,6.32,7.949,8.394
2010-09-08,11190.05,-0.7495166659437587,155.2764666707433,68.63613113377474,46.66,15.97,6.285,7.936,8.39
2010-09-09,11446.7,15.898185549033883,164.09243333711882,74.58334698550306,46.518002,15.92,6.294,7.913,8.383
2010-09-13,11872.85,50.79694516151727,185.12154524161033,81.01918202398477,46.283001,18.14,6.258,7.977,8.401
2010-09-14,11928.35,71.53586971546176,184.02357772435246,81.6701514537223,46.23,18.6,6.26,7.944,8.391
2010-09-15,11987.6,82.38878680375285,178.3718936011844,82.36547893436314,46.139999,19.43,6.339,7.948,8.39
2010-09-16,12032.05,85.34413595383819,185.36318691538554,82.88986605987763,46.200001,18.85,6.496,7.973,8.408
2010-09-17,12104.1,84.76136920782363,182.39081642142943,83.73419341194689,46.099998,19.48,6.493,7.985,8.413
2010-09-20,12251.2,86.5878569222657,185.3343295341845,85.32626136168342,45.877998,21.95,6.522,7.981,8.429
2010-09-21,12244.95,79.84488116609697,183.6604488531713,84.94582670701425,45.619999,22.63,6.525,7.968,8.405
2010-09-22,12305.7,72.17801049667071,182.12755964937338,85.61709319852005,45.580002,24.29,6.516,7.953,8.385
2010-09-23,12146.3,50.120003448334785,184.57559110298956,76.03660788083249,45.557999,23.9,6.506,7.925,8.386
2010-09-24,12263.55,37.73915116800873,187.0737631670618,77.98779861873837,45.450001,21.71,6.475,7.867,8.367
2010-09-27,12253.2,23.843627691059226,183.397065797986,77.38877823145322,45.240002,22.36,6.492,7.864,8.37
2010-09-28,12272.4,11.558631469282716,179.76156109812987,77.73049870211953,44.93,21.21,6.576,7.849,8.348
2010-09-29,12237.55,-2.548606856641811,175.61073530540628,75.50010884631331,45.049999,22.16,6.516,7.852,8.332
2010-10-01,12556.75,-0.21287647295002898,182.0444605439473,81.09602043583634,44.563,21.43,6.526,7.912,8.363
2010-10-04,12651.3,6.28522918361665,182.02342764795108,82.41526987928142,44.412998,22.8,6.557,7.936,8.373
2010-10-05,12596.5,2.9611849779710724,176.66461138738313,78.9751934802467,44.450001,22.17,6.588,7.956,8.381
2010-10-06,12629.2,-0.7676441401659417,174.0457105739986,79.5244162972027,44.400002,21.73,6.647,7.93,8.37
2010-10-07,12536.6,-12.549316875577347,171.42815981871294,73.65660450913879,44.189999,22.45,6.665,7.947,8.367
2010-10-08,12473.4,-26.855899479843288,171.46186268880498,69.8674579598099,44.200001,21.4,6.663,7.991,8.422
2010-10-11,12513.0,-35.37340610588956,168.81815821103325,70.87835832352332,44.408001,21.2,6.654,8.0,8.42
2010-10-12,12461.8,-45.529951016804375,167.5025754816737,67.7152189569729,44.360001,20.51,6.643,8.021,8.417
2010-10-13,12745.0,-34.73699175534432,177.2881058044113,74.49527512520598,44.5,20.02,6.619,8.022,8.416
2010-10-14,12598.85,-38.700015226318044,185.69252681838196,66.70931489771422,44.34,20.6,6.623,8.025,8.418
2010-10-15,12346.45,-58.39647618187223,194.21806061706906,55.85252405836917,44.068001,22.65,6.621,8.07,8.426
2010-10-18,12331.3,-71.64799179292663,201.91677057299268,55.27106281588123,44.158001,22.35,6.669,8.095,8.444
2010-10-19,12245.65,-84.50111920891669,210.60128696063606,51.97659541636584,44.169998,23.23,6.659,8.086,8.425
2010-10-20,12176.5,-95.18517584788196,207.1869093205907,49.415643892963544,44.330002,23.8,6.926,8.157,8.442
2010-10-21,12435.8,-82.77176709145971,212.50570151197707,57.81017219120979,44.200001,22.19,7.124,8.14,8.441
2010-10-22,12384.8,-76.14601337908303,210.78386568969296,55.84711410733463,44.200001,21.61,7.053,8.147,8.473
2010-10-25,12424.7,-67.52060487267494,209.7064467118578,57.075188529869465,44.528,21.36,6.984,8.147,8.483
2010-10-26,12332.65,-66.36085727205568,203.37384337529662,53.38601824053373,44.25,20.55,6.99,8.177,8.494
2010-10-27,12182.65,-73.48822098000585,205.61856884848967,47.94728770323972,44.400002,21.02,6.981,8.13,8.487
2010-10-28,12105.3,-80.63230952805506,208.01009964502617,45.379923321556845,44.419998,20.52,6.971,8.135,8.482
2010-10-29,12330.75,-67.90461000748772,224.66294967038155,53.239160128764816,44.419998,20.76,6.906,8.121,8.465
2010-11-01,12734.9,-31.829880880302,240.67988183678284,63.40469926308515,44.448002,20.92,6.897,8.11,8.458
2010-11-02,12770.9,-6.434709011746634,234.86346170558406,64.15227351004182,44.34,21.25,6.733,7.973,8.417
2010-11-03,12891.8,16.3682520531886,231.4589287266138,66.6185549144869,44.200001,21.53,6.661,7.955,8.404
2010-11-04,13182.9,47.175556531130326,237.26543381756997,71.6720983707776,44.25,19.36,6.617,7.985,8.413
2010-11-08,13105.1,65.85619566758209,228.4829505875987,66.6919154212352,43.900002,19.61,6.606,8.012,8.422
2010-11-09,13121.35,60.369774471154926,227.90559697419877,66.99570066577633,44.299999,18.75,6.611,8.032,8.427
2010-11-10,13007.1,44.720116593033566,221.66234004747028,62.66806371951126,44.189999,19.07,6.647,8.078,8.447
2010-11-11,12823.6,18.999420372206686,226.29717290122235,56.36987719674385,44.259998,19.36,6.891,8.09,8.458
2010-11-12,12457.3,-23.39445864414631,238.5509462654208,46.35489129365124,44.240002,21.63,7.218,8.089,8.489
2010-11-15,12762.15,-31.131862658219802,246.0758786750337,53.723678968992395,44.778,20.25,7.176,8.066,8.488
2010-11-16,12524.45,-51.29496973642975,256.3847444839598,48.16782737213376,45.110001,21.13,7.207,8.069,8.49
2010-11-18,12315.15,-76.25995011402156,279.53940559224833,43.86613822105549,45.108002,20.62,7.082,8.025,8.482
2010-11-19,12062.95,-105.4899120495163,281.8651623356592,39.31048267041816,45.150002,21.6,7.07,8.03,8.479
2010-11-22,12390.1,-98.64760251346506,287.4462221688264,46.99976486020349,45.263,19.93,7.094,8.021,8.458
2010-11-23,12206.45,-101.92780206491139,302.5393491567674,43.655935502131115,45.299999,23.26,7.084,7.996,8.453
2010-11-24,11842.55,-122.6514605504058,319.9365385027126,37.90175423558266,45.540001,24.68,7.465,8.033,8.461
2010-11-25,11652.4,-141.85410616102055,322.35535718109037,35.28462761185571,45.509998,21.63,7.389,8.019,8.455
2010-11-26,11668.85,-145.58873240799383,335.87640309672673,35.69828637315932,45.557999,22.58,7.346,7.968,8.446
2010-11-29,11828.35,-129.97158552427845,325.2316600183891,39.72153112453918,45.709999,21.31,7.337,8.016,8.458
2010-11-30,11952.6,-104.9971399097667,323.84011287421845,42.72773650217218,45.799999,20.71,7.276,8.066,8.467
2010-12-01,12310.75,-60.30066115167283,328.76224766891715,50.40562955053185,45.77,19.2,7.214,8.114,8.481
2010-12-02,12472.6,-17.975827375459474,321.35780140685165,53.44311402290751,45.23,18.8,7.204,8.087,8.486
2010-12-03,12349.2,2.480749490224241,315.53938702064795,50.88422198650176,45.130001,18.6,7.283,8.178,8.503
2010-12-06,12051.2,-2.9898592117191924,322.8544308048874,45.249646684177506,44.912998,19.37,7.345,8.219,8.529
2010-12-07,11695.3,-28.112575427601712,329.91482860453834,39.60855162948788,44.810001,19.23,7.337,8.097,8.512
2010-12-08,11460.2,-56.4626295761132,327.1673408470712,36.381962463412876,44.5,20.43,7.327,8.114,8.525
2010-12-09,11116.05,-92.1799864174591,338.80181650085177,32.2414921892739,45.0,22.6,7.501,8.125,8.524
2010-12-10,11447.0,-87.34926131409884,350.65882960793385,39.38546248885374,45.049999,21.63,7.438,8.097,8.513
2010-12-13,11518.1,-73.74095189454528,346.70105606451,40.828833039683396,44.950001,22.57,7.448,8.114,8.52
2010-12-14,11560.5,-57.007889148043716,334.95812348847363,41.72008579860729,44.91,21.46,7.458,8.099,8.498
2010-12-15,11196.3,-65.01179594937224,340.28611466786833,36.61803728746654,44.91,21.42,7.582,8.078,8.497
2010-12-16,11424.15,-50.169355111439216,340.0871064773063,41.442774428810694,45.25,20.23,7.356,7.959,8.434
2010-12-20,11267.1,-46.23440415011771,329.1487417289272,39.22631842836771,45.167999,20.78,7.404,7.967,8.445
2010-12-21,11537.25,-21.974049619629938,327.3452601768609,44.704676446094254,45.259998,19.77,7.434,7.934,8.442
2010-12-22,11467.7,-7.87467086820098,320.14202730708513,43.61463269458597,45.18,19.55,7.503,7.957,8.45
2010-12-23,11469.05,3.6595127159250183,305.05331107086477,43.643357520334604,44.950001,19.03,7.435,7.933,8.448
2010-12-24,11477.05,13.397287397121346,291.86736028008863,43.82598551598937,45.060001,17.64,7.387,7.916,8.449
2010-12-27,11470.95,20.568273352687385,278.33040597436803,43.7096735663006,45.009998,18.45,7.457,7.919,8.438
2010-12-28,11427.3,23.31129839684803,265.91037697619896,42.833647953291035,45.099998,18.13,7.509,7.903,8.435
