Time,Close,MACD,ATR,RSI,USD_INR_Price,VIX,Yield_1_year_bond,Yield_10_year_bond,Yield_30_year_bond
2010-06-11,5119.35,17.22669923847749,91.13684881648798,53.69263477074542,46.75,25.06,5.222,7.638,8.474
2010-06-14,5197.7,24.109249719788178,90.47707390102453,58.07237917722167,46.400002,23.23,5.202,7.686,8.468
2010-06-15,5222.35,28.959194241899514,88.32871147952275,59.3742348939815,46.400002,21.95,5.173,7.659,8.443
2010-06-16,5233.35,31.34378364827011,84.9309463738425,59.97153422041286,46.41,22.22,5.249,7.593,8.425
2010-06-17,5274.85,33.933132036241474,84.50730734713946,62.22786172587079,46.09,21.66,5.229,7.62,8.419
2010-06-18,5262.6,33.00754156376991,82.52821396520095,61.13244929603637,46.009998,20.52,5.15,7.572,8.398
2010-06-21,5353.3,36.42217411735156,84.07262725340085,65.91647179445346,45.66,19.91,5.139,7.568,8.398
2010-06-22,5316.55,34.161598942876374,81.1602967353008,62.55666453727043,46.02,20.58,5.168,7.572,8.387
2010-06-23,5323.15,31.151051129893226,78.58813268277936,62.922180102957896,46.150002,20.3,5.148,7.585,8.389
2010-06-24,5320.6,27.173321716861608,77.52826606258084,62.6676403500962,46.259998,19.8,5.186,7.581,8.382
2010-06-25,5269.05,19.608901739202295,76.32624705811084,57.595260420149415,46.150002,20.19,5.274,7.659,8.39
2010-06-28,5333.5,17.55110934553082,75.90294369681718,61.76239953980383,46.099998,19.71,5.244,7.598,8.382
2010-06-29,5256.15,9.963290060247644,77.50630486133021,54.80188740491122,46.41,20.68,5.233,7.57,8.377
2010-06-30,5312.5,7.816836377945087,79.85228308552094,58.473529500572006,46.400002,21.11,5.324,7.561,8.361
2010-07-01,5251.4,1.680245121022054,79.89497715084086,53.40743022787358,46.41,21.74,5.303,7.528,8.35
2010-07-02,5237.1,-3.6527597637835214,77.87747878292363,52.26609312578671,46.560001,21.89,5.31,7.551,8.34
2010-07-05,5235.89,-7.358828752411718,74.23623029842906,52.16451003973851,46.728001,21.98,5.698,7.613,8.367
